Codes: L - local, C - connected, S - static, R - RIP, M - mobile, B - BGP
       D - EIGRP, EX - EIGRP external, O - OSPF, IA - OSPF inter area
       N1 - OSPF NSSA external type 1, N2 - OSPF NSSA external type 2
       E1 - OSPF external type 1, E2 - OSPF external type 2
       i - IS-IS, su - IS-IS summary, L1 - IS-IS level-1, L2 - IS-IS level-2
       ia - IS-IS inter area, * - candidate default, U - per-user static route
       o - ODR, P - periodic downloaded static route, H - NHRP, l - LISP
       a - application route
       + - replicated route, % - next hop override, p - overrides from PfR

Gateway of last resort is 10.0.0.1 to network 0.0.0.0

S*    0.0.0.0/0 [1/0] via 10.0.0.1
      10.0.0.0/8 is variably subnetted, 10 subnets, 3 masks
C        10.10.1.0/24 is directly connected, GigabitEthernet0/1
L        10.10.1.1/32 is directly connected, GigabitEthernet0/1
C        10.10.2.0/24 is directly connected, GigabitEthernet0/2
L        10.10.2.1/32 is directly connected, GigabitEthernet0/2
O        10.20.1.0/24 [110/2] via 10.10.1.2, 01:14:12, GigabitEthernet0/1
O        10.20.2.0/24 [110/3] via 10.10.1.2, 01:14:12, GigabitEthernet0/1
O IA     10.20.3.0/24 [110/11] via 10.10.2.2, 00:04:12, GigabitEthernet0/2
D        10.30.1.0/24 [90/156160] via 10.10.1.3, 00:01:45, GigabitEthernet0/1
D        10.30.2.0/24 [90/156160] via 10.10.1.3, 00:01:45, GigabitEthernet0/1
D EX     10.30.3.0/24 [170/200160] via 10.10.2.3, 00:01:45, GigabitEthernet0/2
B        192.168.1.0/24 [20/0] via 172.16.1.1, 10:01:45
B        192.168.2.0/24 [20/0] via 172.16.1.1, 10:01:45
B        192.168.3.0/24 [200/0] via 172.16.2.1, 05:01:45
