ams-core-switch-01# show interfaces configuration
Interface Configuration State:
GigabitEthernet1/0/1 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/2 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/3 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/4 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/5 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/6 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/7 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/8 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/9 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/10 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/11 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/12 - Status: UP, Protocol: UP, MTU: 1500, Mode: Trunk
GigabitEthernet1/0/13 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/14 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/15 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/16 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/17 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/18 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/19 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/20 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/21 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/22 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/23 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/24 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/25 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/26 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/27 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/28 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/29 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/30 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/31 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/32 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/33 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/34 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/35 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/36 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/37 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/38 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/39 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/40 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/41 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/42 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/43 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/44 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/45 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/46 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/47 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
GigabitEthernet1/0/48 - Status: UP, Protocol: UP, MTU: 9216, Mode: Trunk
